"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","OppAdjEM","OppO","OppD","NCAdjEM"
"296","Tulane","Amer","4-18","-10.70","95.2","105.9","69.2","-.024","+1.52","104.7","103.2","-4.13"
"297","Tennessee Martin","OVC","8-15","-11.05","102.9","113.9","68.1","-.043","-2.96","102.2","105.1","+0.34"
"298","Lafayette","Pat","7-16","-11.12","101.2","112.3","68.3","-.013","-3.49","102.0","105.5","-2.87"
"299","Charlotte","CUSA","6-18","-11.16","92.6","103.7","64.3","-.019","-0.73","102.7","103.4","+0.06"
"300","Bethune Cookman","MEAC","11-13","-11.51","93.6","105.2","71.8","-.009","-8.51","99.3","107.9","-1.12"
"301","North Carolina A&T","MEAC","12-11","-11.57","97.5","109.1","65.5","+.074","-6.02","100.0","106.1","+3.91"
"302","Portland St.","BSky","9-13","-11.65","99.7","111.3","68.9","-.007","-3.86","102.6","106.4","-0.74"
"303","Cleveland St.","Horz","7-19","-11.83","98.3","110.1","69.4","-.089","-2.11","104.5","106.6","+1.64"
"304","Navy","Pat","8-15","-11.87","94.9","106.7","67.1","+.054","-2.03","102.8","104.8","+0.21"
"305","Fairfield","MAAC","7-18","-11.98","95.2","107.2","68.4","-.060","-6.74","100.2","106.9","-2.82"
"306","Denver","Sum","7-18","-12.07","101.1","113.2","66.9","-.047","-2.18","103.4","105.5","-1.00"
"307","Niagara","MAAC","11-14","-12.25","101.5","113.8","69.6","+.036","-8.48","98.1","106.6","-7.95"
"308","Florida A&M","MEAC","10-15","-12.29","91.9","104.2","64.7","-.019","-5.13","100.2","105.3","+5.00"
"309","North Alabama","ASun","8-18","-12.33","94.0","106.3","68.2","+.045","+2.66","104.8","102.2","+7.62"
"310","VMI","SC","7-17","-12.64","99.0","111.6","71.3","-.034","+1.36","105.1","103.7","-0.46"
"311","Howard","MEAC","11-13","-13.05","99.2","112.2","71.2","-.035","-7.79","98.9","106.7","+0.49"
"312","Wyoming","MWC","6-17","-13.09","94.7","107.8","68.6","-.004","-1.17","103.6","104.8","-2.95"
"313","Idaho St.","BSky","9-13","-13.33","103.6","116.9","65.6","+.074","-2.60","103.0","105.6","+8.14"
"314","Northern Arizona","BSky","7-16","-13.35","99.8","113.2","68.3","-.000","-5.28","102.0","107.2","+0.77"
"315","North Carolina Central","MEAC","11-13","-13.41","94.9","108.3","65.9","-.039","-9.37","98.0","107.3","+2.10"
"316","Alabama St.","SWAC","8-13","-13.72","95.2","108.9","67.2","+.017","-2.25","101.8","104.0","+13.29"
"317","Southeast Missouri St.","OVC","8-17","-13.79","94.5","108.3","67.4","-.047","-4.81","101.4","106.2","-3.32"
"318","McNeese St.","Slnd","7-16","-14.04","102.4","116.5","66.5","-.086","-5.16","100.9","106.1","+4.14"
"319","Maine","AE","5-20","-14.37","93.8","108.2","64.4","-.061","-0.54","102.7","103.3","+3.00"
"320","Nicholls St.","Slnd","11-12","-14.46","97.7","112.1","68.2","+.115","-4.30","102.4","106.7","+4.15"
"321","Jackson St.","SWAC","9-14","-14.55","87.6","102.2","65.7","+.035","-4.71","100.7","105.4","+4.36"
"322","Saint Peter's","MAAC","6-17","-14.93","92.8","107.7","64.0","-.015","-6.14","100.2","106.3","-2.05"
"323","Elon","CAA","8-18","-14.98","95.1","110.1","67.5","+.019","-2.44","104.5","106.9","-3.46"
"324","Morgan St.","MEAC","8-15","-15.41","92.1","107.5","72.7","-.019","-9.39","98.8","108.2","+0.20"
"325","UC Riverside","BW","8-17","-15.41","99.5","114.9","63.6","-.035","-3.41","101.4","104.8","-2.08"
"326","Tennessee Tech","OVC","7-18","-15.42","89.7","105.1","68.5","-.027","-2.10","104.5","106.6","+1.05"
"327","SIU Edwardsville","OVC","8-16","-15.42","96.6","112.0","69.0","+.024","-3.59","102.8","106.4","-4.28"
"328","Portland","WCC","7-19","-15.46","93.4","108.8","68.3","-.002","-0.66","102.4","103.1","-5.95"
"329","Manhattan","MAAC","7-17","-15.59","87.2","102.8","63.4","-.019","-6.69","99.7","106.4","-2.89"
"330","Mount St. Mary's","NEC","6-19","-16.12","94.4","110.5","67.0","-.012","-2.82","103.3","106.1","+6.03"
"331","USC Upstate","BSth","6-20","-16.24","92.4","108.7","68.7","-.046","-2.75","103.1","105.8","-1.38"
"332","Arkansas Pine Bluff","SWAC","8-15","-16.37","94.3","110.7","66.7","+.068","-3.05","101.5","104.6","+6.73"
"333","Cal Poly","BW","5-17","-16.64","93.4","110.1","64.3","-.093","-4.27","101.8","106.0","-1.10"
"334","Bryant","NEC","8-15","-16.73","96.9","113.6","67.3","+.073","-6.64","100.0","106.6","-2.66"
"335","Stetson","ASun","5-20","-17.01","96.8","113.9","68.9","-.061","-1.15","101.8","103.0","-2.58"
"336","South Carolina St.","MEAC","5-20","-17.60","97.0","114.6","66.4","-.050","-3.51","101.9","105.4","+7.05"
"337","Northwestern St.","Slnd","9-15","-18.87","89.8","108.7","68.5","+.097","-4.20","101.1","105.3","+4.10"
"338","Binghamton","AE","7-18","-19.03","92.3","111.3","66.0","+.023","-4.65","99.9","104.5","-3.01"
"339","Kennesaw St.","ASun","5-20","-19.07","91.1","110.2","67.7","+.016","+0.57","102.8","102.3","+4.07"
"340","Southern","SWAC","3-20","-19.45","95.2","114.6","66.4","-.118","-3.57","100.8","104.4","+8.34"
"341","San Jose St.","MWC","3-19","-19.98","91.0","110.9","67.7","-.045","-0.09","104.4","104.5","-4.29"
"342","Savannah St.","MEAC","8-15","-20.15","95.5","115.6","76.4","+.082","-6.36","99.5","105.9","+4.79"
"343","Incarnate Word","Slnd","6-17","-20.83","98.2","119.0","64.6","-.062","-3.84","101.3","105.1","+4.75"
"344","Alabama A&M","SWAC","5-19","-21.10","87.0","108.1","66.6","-.012","-6.29","99.5","105.8","+0.97"
"345","Coppin St.","MEAC","5-20","-21.12","87.5","108.6","70.0","+.024","-3.74","101.7","105.4","+7.68"
"346","Alcorn St.","SWAC","8-14","-22.50","88.9","111.4","65.7","+.014","-5.73","99.3","105.0","+8.49"
"347","Idaho","BSky","4-19","-23.01","95.8","118.8","64.6","-.035","-5.62","102.1","107.8","-2.84"
"348","UNC Asheville","BSth","3-22","-23.38","92.2","115.6","62.1","-.039","+0.40","105.4","105.0","+4.97"
"349","Mississippi Valley St.","SWAC","3-21","-25.52","89.3","114.8","68.7","-.044","-2.86","100.5","103.3","+7.25"
"350","New Hampshire","AE","3-20","-25.90","83.3","109.2","65.7","-.024","-5.66","101.4","107.0","-3.74"
"351","Chicago St.","WAC","3-21","-27.00","89.8","116.8","70.1","-.009","+4.59","105.7","101.1","+6.45"
"352","Delaware St.","MEAC","4-19","-28.81","86.5","115.3","68.8","+.002","-5.63","100.2","105.8","+1.69"
"353","Maryland Eastern Shore","MEAC","4-22","-31.60","84.7","116.3","62.3","+.005","-2.66","102.1","104.7","+7.44"
